id;Ciudad;Pais;Estadio;Ubicaciˇn
1;Atlanta;USA;Mercedes-Benz Stadium;East
2;Boston;USA;Gillette Stadium;East
3;Dallas;USA;AT&T Stadium;Central
4;Houston;USA;NRG Stadium;Central
5;Kansas City;USA;Arrowhead Stadium;Central
6;Los Angeles;USA;SoFi Stadium;West
7;Miami;USA;Hard Rock Stadium;East
8;New York/New Jersey;USA;MetLife Stadium;East
9;Philadelphia;USA;Lincoln Financial Field;East
10;San Francisco Bay Area;USA;Levi's Stadium;West
11;Seattle;USA;Lumen Field;West
12;Toronto;Canada;BMO Field;East
13;Vancouver;Canada;BC Place;West
14;Guadalajara;Mexico;Estadio Akron;Central
15;Mexico City;Mexico;Estadio Azteca;Central
16;Monterrey;Mexico;Estadio BBVA;Central
